0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,101,101,101,101,102,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,0,0,0,103,0
0,0,94,95,95,95,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,0,0,0,122,147,0
0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,95,0,0,0,0,0,122,0,0,0
0,0,0,0,0,0,0,0,0,94,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,95,0,0,0,0,0,122,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,94,95,95,96,0,0,0,0,0,0,0,0,95,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,95,96,0,0,0,0,0,0,0,0,0,103,0,122,122,0,103,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,96,0,0,0,0,0,0,0,0,0,0,0,94,95,96,147,0,0,0,0,147,0
0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,117,118,100,101,101,101,101,102,0
94,95,95,95,95,95,95,95,96,0,0,0,94,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,96,116,117,118,94,95,95,95,95,95,96
116,117,117,117,117,117,117,117,118,0,0,0,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,118,116,117,118,116,117,117,117,117,117,118
138,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,140,116,117,118,138,139,139,139,139,139,140
